id_entrance;name_ru;name_en;id_station;direction;lat;lon;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle;escalator
60000;пл. Горького, ул. Большая Покровская;pl. Gor'kogo, ul. Bol'shaja Pokrovskaja;1;both;56.3140900836;43.9927168183;720;37;4;2;37;400;1000;19;1
60010;ул. Новая, ул. Костина;ul. Novaja, ul. Kostina;1;both;56.3135376002;43.9936308031;730;54;32;2;54;400;1000;19;1
60020;ул. Горького, ул. Звездинка;ul. Gor'kogo, ul. Zvezdinka;1;both;56.3143151694;43.9950802193;720;84;30;0;0;400;880;14;0
60030;ул. Горького, ул. Звездинка;ul. Gor'kogo, ul. Zvezdinka;1;both;56.3144413539;43.995731604;720;76;59;0;0;400;880;14;0
60040;ул. Короленко, ул. Студеная;ul. Korolenko, ul. Studenaja;1;both;56.314154881;43.9965739705;720;84;30;0;0;400;1000;14;0
60050;ул. Дружбы, ул. Радио;ul. Druzhby, ul. Radio;6;both;56.2775301798;43.9215064381;720;55;55;0;0;0;0;0;0
60060;ул. Норильская, ул. Снежная;ul. Noril'skaja, ul. Snezhnaja;6;both;56.2772027823;43.9212540691;720;57;57;0;0;0;0;0;0
60070;ул. Героя Чугунова, больница № 33;ul. Geroja Chugunova, bol'nica № 33;6;both;56.2773323771;43.9223760878;720;59;59;0;0;0;0;0;0
60080;ул. Норильская, поликлиника больницы № 33;ul. Noril'skaja, poliklinika bol'nicy № 33;6;both;56.2769845173;43.9221237189;720;63;63;0;0;0;0;0;0
60090;ул. Норильская, ул. Снежная;ul. Noril'skaja, ul. Snezhnaja;6;both;56.2761046364;43.9204321649;720;61;61;0;0;0;0;0;0
60100;ул. Херсонская;ul. Hersonskaja;6;both;56.2757431349;43.920162744;720;62;25;0;0;320;680;16;0
60110;ул. Норильская, ул. Таганская;ul. Noril'skaja, ul. Taganskaja;6;both;56.2759204752;43.9213256874;720;65;25;0;0;320;680;16;0
60120;ул. Подводников;ul. Podvodnikov;6;both;56.2755385115;43.9210733184;720;65;24;0;0;320;680;15;0
60130;ул. Новикова-Прибоя, поликлиника № 18;ul. Novikova-Priboja, poliklinika № 18;7;both;56.2672986547;43.9136826764;720;63;25;0;0;400;880;14;0
60140;ул. Новикова-Прибоя, ПКиО Дубки;ul. Novikova-Priboja, PKiO Dubki;7;both;56.2671213144;43.9147364873;720;64;64;0;0;0;0;0;0
60150;ул. Новикова-Прибоя, пер. Райниса;ul. Novikova-Priboja, per. Rajnisa;7;both;56.2668007376;43.91432383;720;64;25;0;0;400;1000;16;0
60160;"ул. Переходникова, завод ""Теплообменник""";"ul. Perehodnikova, zavod ""Teploobmennik""";7;both;56.2657025917;43.9120184056;720;59;25;0;0;340;710;18;0
60170;пр-т Ленина, остановка общ. транспорта;pr-t Lenina, bus stop;7;both;56.2658390074;43.9131063204;720;57;26;0;0;370;990;20;0
60180;пр-т Ленина, пер. Райниса;pr-t Lenina, per. Rajnisa;7;both;56.2655423033;43.9127448189;720;59;59;0;0;0;0;0;0
60190;пр-т Бусыгина;pr-t Busygina;8;both;56.2582709711;43.9025711895;720;65;26;0;0;330;660;16;0
60200;пр-т Ленина, трамвайная остановка;pr-t Lenina, tramway stop;8;both;56.257868545;43.902540496;720;64;64;0;0;0;0;0;0
60210;Северная проходная ГАЗа;Severnaja prohodnaja GAZa;8;both;56.2574490669;43.9038262134;720;55;55;0;0;0;0;0;0
60220;пр-т Ленина, остановка общ. транспорта;pr-t Lenina, bus stop;8;both;56.2572683162;43.9033589898;720;54;54;0;0;0;0;0;0
60230;"Поликлиника ГАЗа, платформа ""Кустовая""";"Poliklinika GAZa, platforma ""Kustovaja""";9;both;56.25233;43.88922;720;58;33;0;0;360;640;17;0
60240;Главная проходная ГАЗа;Glavnaja prohodnaja GAZa;9;both;56.25196;43.8897;720;71;36;0;0;360;640;24;0
60250;Главная проходная ГАЗа;Glavnaja prohodnaja GAZa;10;both;56.24781;43.87957;670;58;27;0;0;350;630;18;0
60260;Автостоянка, Автомеханический техникум;Avtostojanka, Avtomehanicheskij tehnikum;10;both;56.24835;43.87811;670;65;56;0;0;0;0;0;0
60270;Автостоянка;Avtostojanka;10;both;56.24808;43.87843;670;65;28;0;0;350;630;19;0
60280;6-ая проходная ГАЗа;6-aja prohodnaja GAZa;10;both;56.24658;43.87631;690;52;29;0;0;460;630;21;0
60290;Автомеханический техникум, парк Славы;Avtomehanicheskij tehnikum, park Slavy;10;both;56.24718;43.875;690;55;28;0;0;460;630;25;0
60300;Парк Славы;Park Slavy;10;both;56.24689;43.8747;690;47;47;0;0;0;0;0;0
60310;Парк Славы;Park Slavy;10;both;56.24666;43.87502;690;50;50;0;0;0;0;0;0
60320;6-ая проходная ГАЗ;6-aja prohodnaja GAZ;10;both;56.24641;43.8759;690;54;54;0;0;0;0;0;0
60340;"ул. Литвинова, ул. Вокзальная, ТЦ ""Республика""";"ul. Litvinova, ul. Vokzal'naja, TC ""Respublika""";2;both;56.3212330513;43.9491642451;720;71;34;0;0;320;660;22;0
60341;"ул. Литвинова, ул. Вокзальная, ТЦ ""Республика""";"ul. Litvinova, ul. Vokzal'naja, TC ""Respublika""";15;both;56.3212330513;43.9491642451;720;71;34;0;0;320;660;22;0
60350;пригородные кассы;ticket office;2;out;56.3213086252;43.9454071436;720;28;1;0;0;340;740;24;1
60351;пригородные кассы;ticket office;2;in;56.3213086252;43.9454071436;720;55;28;0;0;340;740;24;0
60352;пригородные кассы;ticket office;15;in;56.3213086252;43.9454071436;720;55;28;0;0;340;740;24;0
60353;пригородные кассы;ticket office;15;in;56.3213086252;43.9454071436;720;55;28;0;0;340;740;24;0
60360;вход в здание ж/д вокзала;railway station entrance;2;out;56.3218052535;43.9464723754;720;27;27;0;0;0;0;0;1
60361;вход в здание ж/д вокзала;railway station entrance;2;in;56.3218052535;43.9464723754;720;54;54;0;0;0;0;0;0
60362;вход в здание ж/д вокзала;railway station entrance;15;in;56.3218052535;43.9464723754;720;54;54;0;0;0;0;0;0
60363;вход в здание ж/д вокзала;railway station entrance;15;in;56.3218052535;43.9464723754;720;54;54;0;0;0;0;0;0
60370;вход в здание ж/д вокзала;railway station entrance;2;out;56.321664902;43.9461017035;720;27;27;0;0;0;0;0;1
60371;вход в здание ж/д вокзала;railway station entrance;2;in;56.321664902;43.9461017035;720;54;54;0;0;0;0;0;0
60372;вход в здание ж/д вокзала;railway station entrance;15;in;56.321664902;43.9461017035;720;54;54;0;0;0;0;0;0
60373;вход в здание ж/д вокзала;railway station entrance;15;in;56.321664902;43.9461017035;720;54;54;0;0;0;0;0;0
60380;ул. Луначарского;ul. Lunacharskogo;2;out;56.322093154;43.9483869137;720;25;1;0;0;340;600;23;1
60381;ул. Луначарского;ul. Lunacharskogo;2;in;56.322093154;43.9483869137;720;52;28;0;0;340;600;23;0
60382;ул. Луначарского;ul. Lunacharskogo;15;in;56.322093154;43.9483869137;720;52;28;0;0;340;600;23;0
60383;ул. Луначарского;ul. Lunacharskogo;15;in;56.322093154;43.9483869137;720;52;28;0;0;340;600;23;0
60390;пл. Революции, Макдональдс;pl. Revoljucii, Makdonal'ds;2;out;56.3219707963;43.9480954145;720;23;0;0;0;340;600;23;1
60391;пл. Революции, Макдональдс;pl. Revoljucii, Makdonal'ds;2;in;56.3219707963;43.9480954145;720;50;27;0;0;340;600;23;0
60392;пл. Революции, Макдональдс;pl. Revoljucii, Makdonal'ds;15;in;56.3219707963;43.9480954145;720;50;27;0;0;340;600;23;0
60393;пл. Революции, Макдональдс;pl. Revoljucii, Makdonal'ds;15;in;56.3219707963;43.9480954145;720;50;27;0;0;340;600;23;0
60400;"автостанция ""Канавинская""";"avtostancija ""Kanavinskaja""";2;out;56.3224386346;43.9479154767;720;26;2;0;0;340;600;25;1
60401;"автостанция ""Канавинская""";"avtostancija ""Kanavinskaja""";2;in;56.3224386346;43.9479154767;720;53;29;0;0;340;600;25;0
60402;"автостанция ""Канавинская""";"avtostancija ""Kanavinskaja""";15;in;56.3224386346;43.9479154767;720;53;29;0;0;340;600;25;0
60403;"автостанция ""Канавинская""";"avtostancija ""Kanavinskaja""";15;in;56.3224386346;43.9479154767;720;53;29;0;0;340;600;25;0
60410;пл. Революции, Царский павильон;pl. Revoljucii, Carskij pavil'on;2;out;56.3222982831;43.9475807923;720;25;0;0;0;340;600;25;1
60411;пл. Революции, Царский павильон;pl. Revoljucii, Carskij pavil'on;2;in;56.3222982831;43.9475807923;720;52;27;0;0;340;600;25;0
60412;пл. Революции, Царский павильон;pl. Revoljucii, Carskij pavil'on;15;in;56.3222982831;43.9475807923;720;52;27;0;0;340;600;25;0
60413;пл. Революции, Царский павильон;pl. Revoljucii, Carskij pavil'on;15;in;56.3222982831;43.9475807923;720;52;27;0;0;340;600;25;0
60420;платформа № 2;platforma № 2;2;out;56.3227193376;43.9471633366;720;37;37;0;0;0;0;0;1
60421;платформа № 2;platforma № 2;2;in;56.3227193376;43.9471633366;720;64;64;0;0;0;0;0;0
60422;платформа № 2;platforma № 2;15;in;56.3227193376;43.9471633366;720;64;64;0;0;0;0;0;0
60423;платформа № 2;platforma № 2;15;in;56.3227193376;43.9471633366;720;64;64;0;0;0;0;0;0
60430;платформа № 3;platforma № 3;2;out;56.3228344978;43.9470157876;720;32;32;0;0;0;0;0;1
60431;платформа № 3;platforma № 3;2;in;56.3228344978;43.9470157876;720;59;59;0;0;0;0;0;0
60432;платформа № 3;platforma № 3;15;in;56.3228344978;43.9470157876;720;59;59;0;0;0;0;0;0
60433;платформа № 3;platforma № 3;15;in;56.3228344978;43.9470157876;720;59;59;0;0;0;0;0;0
60440;Московское шоссе, сквер;Moskovskoe shosse, skver;2;out;56.323125997;43.9470589727;720;28;2;0;0;340;580;24;1
60441;Московское шоссе, сквер;Moskovskoe shosse, skver;2;in;56.323125997;43.9470589727;720;55;29;0;0;340;580;24;0
60442;Московское шоссе, сквер;Moskovskoe shosse, skver;15;in;56.323125997;43.9470589727;720;55;29;0;0;340;580;24;0
60443;Московское шоссе, сквер;Moskovskoe shosse, skver;15;in;56.323125997;43.9470589727;720;55;29;0;0;340;580;24;0
60450;пригородный вокзал;prigorodnyj vokzal;2;out;56.3229856455;43.9466954983;720;27;0;0;0;400;950;21;1
60451;пригородный вокзал;prigorodnyj vokzal;2;in;56.3229856455;43.9466954983;720;54;27;0;0;400;950;21;0
60452;пригородный вокзал;prigorodnyj vokzal;15;in;56.3229856455;43.9466954983;720;54;27;0;0;400;950;21;0
60453;пригородный вокзал;prigorodnyj vokzal;15;in;56.3229856455;43.9466954983;720;54;27;0;0;400;950;21;0
60460;Гордеевский универмаг;Gordeevskij univermag;2;out;56.3235974341;43.9460873085;720;26;1;0;0;340;640;24;1
60461;Гордеевский универмаг;Gordeevskij univermag;2;in;56.3235974341;43.9460873085;720;53;28;0;0;340;640;24;0
60462;Гордеевский универмаг;Gordeevskij univermag;15;in;56.3235974341;43.9460873085;720;53;28;0;0;340;640;24;0
60463;Гордеевский универмаг;Gordeevskij univermag;15;in;56.3235974341;43.9460873085;720;53;28;0;0;340;640;24;0
60470;ул. Витебская, ЦДК Железнодорожников;ul. Vitebskaja, CDK Zheleznodorozhnikov;3;both;56.31126;43.93809;720;68;27;0;0;0;0;0;0
60480;ул. Чкалова;ul. Chkalova;3;both;56.31151;43.93776;720;69;28;0;0;380;670;20;0
60490;ул. Обухова, ул. Октябрьской Революции;ul. Obuhova, ul. Oktjabr'skoj Revoljucii;3;both;56.31159;43.93713;720;66;28;0;0;360;650;17;0
60500;Парк им. 1 мая, стадион, детская железная дорога;Park im. 1 maja, stadium, children railway station;3;both;56.30958;43.9365;720;69;69;0;0;0;0;0;0
60510;Ул. Октябрьской Революции, больница №7;Ul. Oktjabr'skoj Revoljucii, bol'nica №7;3;both;56.30983;43.93721;720;68;68;0;0;0;0;0;0
60520;ДК ГАЗа, пл. им. Киселева;DK GAZa, pl. im. Kiseleva;11;both;56.24176;43.85972;700;65;26;0;0;420;700;19;0
60530;ул. Лоскутова, Молодежный проспект;ul. Loskutova, Molodezhnyj prospekt;11;both;56.24237;43.85948;700;65;26;0;0;420;690;19;0
60540;ул. Челюскинцев, Молодежный проспект;ul. Cheljuskincev, Molodezhnyj prospekt;11;both;56.24264;43.85648;700;63;25;0;0;360;630;18;0
60550;Автозаводский ПКиО, Молодежный проспект;Avtozavodskij park, Molodezhnyj prospekt;11;both;56.24208;43.8562;700;60;25;0;0;360;630;22;0
60560;ул. Куйбышева, ул. Шаляпина;ul. Kujbysheva, ul. Shaljapina;13;both;56.32524;43.91424;720;58;29;0;0;360;650;19;0
60570;ул. Куйбышева, ул. Тореза;ul. Kujbysheva, ul. Toreza;13;both;56.32559;43.91316;720;65;29;0;0;340;640;19;0
60580;ОКБМ;OKBM;13;both;56.32504;43.91338;720;72;31;0;0;350;640;19;0
60590;Сормовское шоссе;Sormovskoe shosse;13;both;56.32652;43.9108;720;68;68;0;0;0;1000;5;0
60600;ул. Власть Советов;ul. Vlast' Sovetov;4;both;56.30004;43.93842;720;57;57;0;0;0;0;0;0
60610;пр-т Ленина, пл. Комсомольская;pr-t Lenina, pl. Komsomol'skaja;4;both;56.2999;43.9392;720;57;57;0;0;0;0;0;0
60620;ул. Рубо;ul. Rubo;4;both;56.2980511536;43.9367227828;720;54;29;0;0;320;670;19;0
60630;"Комсомольское шоссе, рынок ""Комсомолка""";"Komsomol'skoe shosse, ""Komsomolka"" market";4;both;56.2979825273;43.9380009478;720;47;23;0;0;310;620;19;0
60640;"рынок, ТЦ ""Муравей""";"market, TC ""Muravej""";5;both;56.28605;43.92752;720;59;25;0;0;390;700;17;0
60650;"Заречный бульвар, к/т ""Россия""";"Zarechnyj bul'var, cinema ""Rossija""";5;both;56.2857;43.92906;720;59;25;0;0;390;700;17;0
60660;рынок, ул. Дружбы;market, ul. Druzhby;5;both;56.28475;43.92687;720;62;62;0;0;0;0;0;0
60670;ул. Космонавта Комарова;ul. Kosmonavta Komarova;5;both;56.28426;43.92792;720;59;24;0;0;0;0;0;0
60680;ул. Дружбы, пр-т Ленина;ul. Druzhby, pr-t Lenina;5;both;56.28404;43.92636;720;59;59;0;0;330;950;20;0
60690;Сормовское шоссе;Sormovskoe shosse;12;both;56.33343;43.89408;700;58;58;0;0;0;0;0;0
60700;"Московское шоссе, остановка ""Сормовский поворот""";"Moskovskoe shosse, ""Sormovskij povorot"" stop";14;both;56.31973;43.92734;720;54;54;0;0;0;0;0;0
60710;ул. Маршала Казакова;ul. Marshala Kazakova;14;both;56.32041;43.92764;720;67;67;0;0;0;0;0;0
60720;ул. Маршала Воронова;ul. Marshala Voronova;14;both;56.3213;43.92492;720;65;65;0;0;0;0;0;0
60730;Северная сторона Сормовского шоссе;Sormovskoe shosse, northern side;14;both;56.3211;43.92553;720;63;27;0;0;350;630;17;0
60740;Южная сторона Сормовского шоссе;Sormovskoe shosse, southern side;14;both;56.32092;43.92531;720;65;27;0;0;350;640;17;0
